t = 00000000000000 | in = 00000000 | load = 0 | rst = 1 | out = 00000000
t = 11000000000000 | in = 00000000 | load = 0 | rst = 0 | out = 00000000
t = 21000000000000 | in = 11111111 | load = 1 | rst = 0 | out = 00000000
t = 25000000000000 | in = 11111111 | load = 1 | rst = 0 | out = 11111111
t = 31000000000000 | in = 11111111 | load = 0 | rst = 0 | out = 11111111
t = 41000000000000 | in = 10101010 | load = 1 | rst = 0 | out = 11111111
t = 45000000000000 | in = 10101010 | load = 1 | rst = 0 | out = 10101010
t = 51000000000000 | in = 10000001 | load = 1 | rst = 0 | out = 10101010
t = 55000000000000 | in = 10000001 | load = 1 | rst = 0 | out = 10000001
